app_id,title,rating,price_final
13500,Prince of Persia: Warrior Within™,Very Positive,9.99
22364,BRINK: Agents of Change,Positive,2.99
113020,Monaco: What's Yours Is Mine,Very Positive,14.99
226560,Escape Dead Island,Mixed,14.99
249050,Dungeon of the ENDLESS™,Very Positive,11.99
250180,METAL SLUG 3,Very Positive,7.99
253980,Enclave,Mostly Positive,4.99
271850,Men of War: Assault Squad 2 - Deluxe Edition upgrade,Mixed,6.99
282900,Hyperdimension Neptunia Re;Birth1,Very Positive,14.99
19810,The Sum of All Fears,Mostly Positive,9.99
15270,Cold Fear™,Very Positive,9.99
21130,LEGO® Harry Potter: Years 1-4,Very Positive,19.99
22130,Hearts of Iron 2 Complete,Very Positive,14.99
29180,Osmos,Very Positive,9.99
32750,Comanche 4,Very Positive,9.99
241620,Inquisitor,Mostly Positive,9.99
408520,FORM,Very Positive,14.99
244910,Homesick,Mostly Positive,14.99
245950,Borderlands 2: Headhunter 4: Wedding Day Massacre,Very Positive,0.89
250460,Bridge Constructor,Mostly Positive,2.39
278890,Angvik,Very Positive,2.99
305181,Sniper Elite 3 - Camouflage Weapons Pack,Very Positive,3.99
312200,Chasm,Mostly Positive,19.99
321290,Dandelion - Wishes brought to you -,Very Positive,29.99
329640,Eradicator,Very Positive,6.99
367670,Controller Companion,Very Positive,2.99
380810,Herald: An Interactive Period Drama - Book I & II,Very Positive,9.99
392330,Take Command - 2nd Manassas,Very Positive,9.99
437000,GUILTY GEAR 2 -OVERTURE-,Mostly Positive,19.99
445420,Aselia the Eternal -The Spirit of Eternity Sword-,Very Positive,14.99
458790,The House in Fata Morgana Original Soundtrack,Positive,11.99
462280,Offworld Trading Company - Soundtrack DLC,Positive,9.99
1872790,Luckitown,Very Positive,4.99
371970,Barony,Very Positive,20.0
222660,Retro/Grade,Very Positive,9.99
237850,Dreamfall Chapters,Very Positive,24.99
268220,Meltdown,Very Positive,6.99
274270,NOT A HERO,Very Positive,19.99
281450,Disciples Sacred Lands Gold,Very Positive,7.99
1259750,Tropico 6 - Spitter,Mixed,9.99
296870,Dreaming Sarah,Very Positive,5.99
330180,Pix the Cat,Very Positive,4.99
351920,Crazy Machines 3,Very Positive,9.99
397210,Kanji Training Game,Mostly Positive,4.99
